"(288, 0.910795215135604)","(458, 0.9011331877996243)","(583, 0.9009665636116257)","(88, 0.8972221498557629)","(455, 0.8952660639929393)","(494, 0.8941497446250416)","(265, 0.8935853678243149)","(147, 0.8890663535838423)","(676, 0.8874943911612277)","(203, 0.8857558556442133)"
"(672, 0.8195440732174134)","(265, 0.8135927078042027)","(715, 0.8123854182802592)","(458, 0.806364613501251)","(288, 0.8062837712117471)","(226, 0.8057804941865806)","(585, 0.8017421270302235)","(296, 0.8016807451875082)","(631, 0.8006627029907127)","(616, 0.7984674502229816)"
"(169, 0.8252406671115398)","(495, 0.7820135881978154)","(144, 0.7726485957737026)","(227, 0.7647114551962895)","(496, 0.7538332572272479)","(683, 0.7520908881950629)","(88, 0.7491187133514461)","(14, 0.7431368786882547)","(70, 0.7387237072881429)","(189, 0.737256055391097)"
"(650, 0.8403659782030307)","(550, 0.8213476630964529)","(293, 0.81629296482655)","(663, 0.8133999500729423)","(594, 0.8053888888039507)","(546, 0.8047803795287746)","(350, 0.8021393556461234)","(602, 0.8002020767692393)","(67, 0.7995137460693913)","(44, 0.7958165394070424)"
"(465, 0.5797206405274291)","(227, 0.5634718268435808)","(173, 0.5503810361307446)","(82, 0.5329967540050375)","(150, 0.5309404391268577)","(27, 0.4909507210733417)","(683, 0.46997154592940255)","(144, 0.46568200270030535)","(131, 0.46410580095581905)","(252, 0.4627573727880896)"
"(663, 0.8321875158247136)","(325, 0.8307425166184772)","(594, 0.83067156125832)","(44, 0.8283488161673558)","(560, 0.8155820397274531)","(479, 0.8123139958924827)","(413, 0.8115462330713433)","(88, 0.8074478514501827)","(222, 0.8056607406654113)","(546, 0.8047385725054594)"
"(70, 0.856360651211712)","(616, 0.8065254284159362)","(430, 0.8000794787706738)","(274, 0.7968920872418643)","(193, 0.79602352014846)","(215, 0.7922561598386331)","(242, 0.7900160147145234)","(298, 0.7899493773488756)","(260, 0.7894190700004999)","(224, 0.7870112651650576)"
"(74, 0.8599410382423323)","(44, 0.8218747550116658)","(66, 0.8214403736760885)","(602, 0.8115040816416976)","(115, 0.8066967837396983)","(663, 0.8024353734774275)","(350, 0.7971022903142161)","(107, 0.7911410077128573)","(413, 0.790509144653258)","(138, 0.7891715440165455)"
"(455, 0.8415206984618377)","(358, 0.8396925465627447)","(438, 0.8374377596770026)","(682, 0.8346537264665409)","(288, 0.8326170002623339)","(580, 0.8298964727929636)","(458, 0.8286086940294842)","(509, 0.8261836992303133)","(222, 0.8250255572361036)","(494, 0.8244786336622028)"
"(455, 0.8686471768421855)","(547, 0.8664148812327215)","(274, 0.8533874277013438)","(296, 0.852115897366209)","(271, 0.8513887381865834)","(545, 0.8453968477467111)","(325, 0.8442332576379936)","(22, 0.8423983810738997)","(663, 0.842358516214988)","(371, 0.8383898486561306)"
"(413, 0.9206864920912051)","(663, 0.920281232686017)","(44, 0.9161216696577452)","(546, 0.9125193911944642)","(547, 0.910890808651843)","(350, 0.9063102043596043)","(621, 0.9061499323878754)","(317, 0.9057401352182698)","(288, 0.9038785802787267)","(602, 0.9025883667025247)"
